Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,17.8061902
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,2
POAV_A^3,3155.51
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5552
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.629194
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-11.2198390139
adsorption_energy_widom_dev,0.0281871988
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,9.2753928316
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.3692e-06
henry_coefficient_dev,2.24736e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0052656567032744, 0.022437499902956, 0.042052686054304, 0.035115421321326, 0.072734368363209, 0.075895103060917, 0.022529194329585, 0.07805791745223, 0.07798737749885, 0.068481398239358, 0.048922834654403, 0.068735928894876, 0.06234361178433, 0.090681155286011, 0.032458455227199, 0.055857360291247, 0.021393984105538, 0.093364436152102], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.0837032495792, 0.33098046226506, 0.57416025519799, 0.77840214405451, 0.97328204959675, 1.1917862702398, 1.3805324625761, 1.5750895411075, 1.750930930626, 1.9330798632793, 2.0659769827407, 2.2088651843068, 2.415151644232, 2.5272471155335, 2.6688026209779, 2.8327242439424, 2.9225612067276, 2.9912323062637], 'enthalpy_of_adsorption_dev': [0.39329280885984, 0.29703806340575, 0.53217883481746, 0.47988871151464, 0.75911359157916, 0.28903995909306, 0.43392377341548, 0.45898350419462, 0.43927493286107, 0.35065197509, 0.62448452271083, 0.34371150632311, 0.53629165315574, 0.54736538541485, 0.64342517439492, 0.24104625310751, 0.48652675164002, 0.64451032234999], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-13.798601681175, -13.644049620447, -13.748192279231, -13.725692383162, -13.627395009686, -13.813255759813, -13.85276362941, -13.856711647668, -13.853253431776, -13.571723163137, -13.75937924555, -13.83836846175, -13.928261538334, -13.919532064553, -13.699283546598, -14.019951610087, -13.599600658502, -13.810649023472]}"
temperature,298
temperature_unit,K
